expense_id,item_id,tax,total,item_name
1,1,0.12,63.04,Leasehold Improvements
1,2,0.09,41.41,Professional Fees
2,1,0.08,16.15,Postage and Shipping
2,2,0.2,146.97,Depreciation
2,3,0.07,193.79,Promotions
2,4,0.16,111.73,Utilities
3,1,0.07,193.79,Promotions
4,1,0.16,146.15,Software Subscriptions
4,2,0.12,125.0,Legal Fees
4,3,0.09,59.46,Janitorial Services
5,1,0.13,195.23,Advertising
5,2,0.12,102.66,Freight and Delivery
5,3,0.07,90.62,Benefits
5,4,0.09,110.33,Liability Insurance
6,1,0.19,132.18,Miscellaneous Expenses
6,2,0.08,64.64,Recruitment Costs
6,3,0.15,165.9,Office Expenses
7,1,0.1,36.95,Shipping Costs
7,2,0.11,113.0,Insurance Premiums
8,1,0.16,56.59,Prepaid Expenses
8,2,0.13,151.04,Auditing Fees
9,1,0.09,77.54,Employee Salaries
9,2,0.16,146.15,Software Subscriptions
9,3,0.15,86.64,Hardware Upgrades
10,1,0.1,125.84,Marketing Costs
10,2,0.19,16.58,Office Furniture
10,3,0.06,128.19,Equipment Maintenance
10,4,0.12,63.04,Leasehold Improvements
11,1,0.18,66.63,Security Services
11,2,0.12,125.0,Legal Fees
12,1,0.18,99.41,Signage
13,1,0.1,88.88,Fixtures and Equipment
13,2,0.07,90.62,Benefits
14,1,0.09,77.54,Employee Salaries
15,1,0.1,164.11,Shrinkage
15,2,0.2,102.55,Office Supplies
15,3,0.19,109.54,Contractor Fees
16,1,0.12,125.0,Legal Fees
16,2,0.18,66.63,Security Services
16,3,0.15,86.64,Hardware Upgrades
17,1,0.08,64.64,Recruitment Costs
18,1,0.09,59.46,Janitorial Services
18,2,0.16,56.59,Prepaid Expenses
19,1,0.17,134.64,Vehicle Maintenance
20,1,0.09,77.54,Employee Salaries
20,2,0.07,90.62,Benefits
20,3,0.16,111.73,Utilities
21,1,0.17,137.87,Pensions
21,2,0.09,59.46,Janitorial Services
21,3,0.11,188.36,Utilities Deposits
21,4,0.17,134.64,Vehicle Maintenance
22,1,0.17,134.64,Vehicle Maintenance
22,2,0.19,109.54,Contractor Fees
22,3,0.16,111.73,Utilities
22,4,0.09,124.24,Consulting Fees
23,1,0.06,174.78,Employee Training
24,1,0.13,48.13,Packaging Materials
24,2,0.2,102.55,Office Supplies
25,1,0.07,193.79,Promotions
25,2,0.13,35.21,Business Insurance
25,3,0.1,36.95,Shipping Costs
25,4,0.11,179.77,Amortization
26,1,0.17,134.64,Vehicle Maintenance
26,2,0.15,161.92,Travel Expenses
26,3,0.13,195.23,Advertising
26,4,0.2,102.55,Office Supplies
27,1,0.19,132.18,Miscellaneous Expenses
27,2,0.16,72.73,Returns
28,1,0.18,99.41,Signage
28,2,0.09,59.46,Janitorial Services
28,3,0.12,102.66,Freight and Delivery
29,1,0.18,99.41,Signage
29,2,0.11,179.77,Amortization
30,1,0.2,37.58,Workers Compensation
31,1,0.08,64.64,Recruitment Costs
32,1,0.11,66.59,Credit Card Fees
32,2,0.07,90.62,Benefits
32,3,0.17,137.87,Pensions
33,1,0.09,41.41,Professional Fees
34,1,0.09,59.46,Janitorial Services
35,1,0.11,179.77,Amortization
35,2,0.11,113.0,Insurance Premiums
36,1,0.06,174.78,Employee Training
36,2,0.19,109.54,Contractor Fees
36,3,0.18,66.63,Security Services
36,4,0.11,179.77,Amortization
37,1,0.05,123.14,Interest Expenses
38,1,0.15,161.92,Travel Expenses
39,1,0.11,10.67,Bad Debt
39,2,0.06,127.82,Property Taxes
40,1,0.13,48.13,Packaging Materials
40,2,0.06,31.8,Temporary Labor
40,3,0.12,125.0,Legal Fees
40,4,0.09,77.54,Employee Salaries
41,1,0.11,66.59,Credit Card Fees
41,2,0.19,66.64,Bank Fees
41,3,0.16,90.05,Taxes
42,1,0.2,37.58,Workers Compensation
42,2,0.1,88.88,Fixtures and Equipment
