vendor_id,vendor_name,vendor_ph,email_id,address
1,Fox-Campbell,520-997-0595,ischultz@example.com,"02338 Kimberly Trail North Georgeport, MI 10921"
2,Hernandez and Sons,740-869-9402,robertstravis@example.org,"8369 Holly Island Port Garyfort, FL 62290"
3,Thomas-Carrillo,472-341-7802,williamsstacey@example.com,"523 Gloria Forks Suite 564 Zacharyshire, ID 19004"
4,Reed-Mcclure,748-699-8656,john27@example.org,"4614 Gabriel Canyon Port Sue, KY 66045"
5,Johnson Ltd,787-692-9143,stevenlee@example.org,"84874 Young Overpass Madisonton, WY 35859"
6,Gaines LLC,933-390-1772,rrichardson@example.org,"05396 Pittman Plain Apt. 063 East Amy, NC 33000"
7,Brown Inc,570-751-2068,fergusoncarolyn@example.org,"67900 Scott Cliff Suite 113 Kennethborough, SD 88749"
8,Black-Crawford,592-966-0354,wwoods@example.net,"94155 Olson Village Port Jasmineburgh, WV 59274"
9,Powell-Garza,482-353-9023,barbara42@example.com,"035 David Port Lake Jeffreystad, NJ 17118"
10,Roberts-Vasquez,234-520-2251,tara39@example.net,"46458 Scott Tunne Port Matthew, HI 96295"
11,"Drake, Lane and Velazquez",383-353-5815,john50@example.com,"40876 Lozano Crest Jordanhaven, VI 93660"
12,Jackson-Bowen,555-465-5552,juliewood@example.org,"01892 Hopkins Union Suite 027 East Bradley, ND 84533"
13,"Moss, Taylor and Huffman",704-523-2750,btaylor@example.com,"018 Kevin Port Apt. 450 East Barbaraview, OH 18832"
14,"Moss, Perez and Cook",288-659-8671,hhanson@example.net,"745 Earl Mission Suite 091 Lake Paigeberg, WI 70163"
15,"Mills, George and Good",310-564-8285,stevensmith@example.com,"94016 Cassidy Forge Apt. 918 Morganmouth, FL 47660"
16,Lawrence Inc,965-881-9781,alexandra10@example.com,"5688 Kevin Knoll New Wesleyside, AK 76305"
17,Reid Inc,589-210-8876,odiaz@example.net,"3865 Caleb Fall Apt. 649 Port Patrickfort, PR 72480"
18,"Wright, Dawson and Alexander",728-626-5162,ibell@example.com,"2931 Nguyen Stream Shawnshire, VA 07743"
19,Rojas PLC,711-311-2715,jpark@example.net,"26362 Cassandra Lakes North Dylan, AR 44492"
20,"Fuentes, Wilson and Proctor",537-791-9726,clucero@example.com,"29942 Krystal Garden Jensenshire, LA 83205"
21,"Holland, Wilson and Salas",688-995-8384,dharvey@example.com,"263 Murphy Orchard Apt. 054 Molinaburgh, WA 82339"
22,"Montoya, Jones and Simpson",893-843-9732,mistyjohnson@example.net,"34516 Andrea Lakes New Lucaschester, NM 08839"
23,Mendoza-Edwards,396-438-4942,ghanna@example.com,"71369 Ana Ports New Christian, IL 67841"
24,Garcia-Odonnell,396-494-3401,jennifer12@example.com,"054 Ballard Drive Apt. 808 West Margaret, ND 59177"
25,"Coleman, Thornton and Morales",792-828-7537,websternathaniel@example.com,"32354 Davidson Pines South Heathermouth, MA 67542"
26,Kidd LLC,574-333-3438,danielmoon@example.org,"020 Vanessa Parks Apt. 392 Robinsonview, CT 31553"
27,"Flynn, Allen and Espinoza",920-361-9272,marisasutton@example.net,"USS Armstrong FPO AA 54168"
28,"English, Barr and Aguilar",461-906-5084,kevinwillis@example.com,"65967 Laurie Key Apt. 570 Nicholasside, ND 69128"
29,Cook-Singleton,853-658-1113,tbailey@example.com,"98438 Mario Locks Ryanburgh, NV 63161"
30,Ellis LLC,443-601-4559,kmcbride@example.com,"841 Ray Estate Apt. 565 North Brian, NC 50935"
31,Calhoun Group,347-958-9390,ajohnson@example.org,"2962 Manning Springs West John, NJ 69219"
32,Soto PLC,939-676-8851,rbeltran@example.org,"68115 Johnson Cliff Apt. 685 New Kristinfort, NY 87644"
33,Garcia Group,344-539-9915,andrebutler@example.org,"2868 Linda Avenue Apt. 756 Port Rachelborough, PA 58370"
34,Morgan PLC,394-697-8744,patricia18@example.com,"463 Eric Ridges South Michaelbury, RI 99369"
35,"Anderson, Vasquez and Watson",994-936-7930,ugarcia@example.com,"8994 Lowe Throughway Kennethland, ID 54683"
36,Wise-Johnson,678-430-5221,parkercaitlin@example.com,"591 Mcfarland Point Donland, AZ 67659"
37,Hart Ltd,914-897-3546,tjenkins@example.org,"4013 Santiago Trafficway Medinaview, WI 48846"
38,King-Vaughn,750-482-0438,sandywalls@example.org,"94758 Miller Villages Suite 310 Andrewton, WV 47169"
39,Quinn-Smith,473-674-5735,michael78@example.org,"63582 Harrison Village North Shawn, MP 90469"
40,"Schmitt, Watson and Mann",887-306-1703,mariamoore@example.org,"71378 Flores Stravenue Suite 593 Paynestad, ME 01308"
41,Bartlett Group,285-400-7721,joseph83@example.net,"512 Bennett Corner South Michaelburgh, AZ 68189"
42,"Jordan, Rogers and Mcdaniel",294-657-1196,becky12@example.net,"823 Contreras Knolls Apt. 834 Berryland, TX 80830"
43,Morales LLC,788-602-7097,leonarddrake@example.com,"5777 Guerrero Cape Suite 742 Brittanyfurt, FM 02781"
44,"Le, Austin and Thompson",866-438-9379,nsmith@example.com,"654 Whitney Forges Suite 882 Jamesville, NM 90202"
45,Edwards PLC,824-346-9930,teresamurphy@example.net,"23947 Williams Rue Apt. 136 East Michelefort, NC 19422"
46,"Brooks, Thomas and Gould",746-946-4099,dustin67@example.net,"5655 Long Parkways Apt. 141 South Michaeltown, RI 34792"
47,Beard-Willis,697-986-4708,stewartthomas@example.org,"265 Richard Haven Apt. 123 South Danny, AR 27375"
48,"Leonard, Hess and Cameron",564-586-2786,jilladams@example.org,"565 Carl Roads Lake Ericton, NV 48724"
49,"Brooks, Anderson and Hunter",870-603-1858,fwilliams@example.com,"4083 Alvarez Alley Port Kelly, TN 33593"
50,"Tucker, Fox and Warren",380-607-7373,hollyjennings@example.com,"2634 Diana Mall West Candiceland, AR 77426"
